Day	To_Lombardy	To_Lombardy_direct	To_Lombardy_indirect	From_Lombardy_direct	From_Lombardy_total_EST	Cases_in_Norway_cumulative	Cases_in_Norway_new	Cases_in_Norway_from_Italy	Fraction_newcases_from_Italy	Cases_in_Lombardy_new	Cases_in_Lombardy_cumulative
2020-02-01	152	0	152	0	1.85	0	0	0	0	0	0
2020-02-02	270	180	90	179	210.96	0	0	0	0	0	0
2020-02-03	158	0	158	0	56.14	0	0	0	0	0	0
2020-02-04	162	0	162	0	75.33	0	0	0	0	0	0
2020-02-05	174	0	174	0	90.67	0	0	0	0	0	0
2020-02-06	297	179	118	179	282.31	0	0	0	0	0	0
2020-02-07	196	0	196	0	114.25	0	0	0	0	0	0
2020-02-08	111	0	111	0	123.69	0	0	0	0	0	0
2020-02-09	249	132	117	181	305.47	0	0	0	0	0	0
2020-02-10	167	0	167	0	122.36	0	0	0	0	0	0
2020-02-11	304	179	125	169	289.67	0	0	0	0	0	0
2020-02-12	141	0	141	0	120.28	0	0	0	0	0	0
2020-02-13	282	180	102	184	307.09	0	0	0	0	0	0
2020-02-14	261	102	159	81	210.69	0	0	0	0	0	0
2020-02-15	296	165	131	105	242.28	0	0	0	0	0	0
2020-02-16	455	277	178	232	376.73	0	0	0	0	0	0
2020-02-17	341	159	182	103	258.49	0	0	0	0	0	0
2020-02-18	272	127	145	175	344.95	0	0	0	0	0	0
2020-02-19	262	0	262	0	187.06	0	0	0	0	0	0
2020-02-20	239	143	96	184	385.15	0	0	0	0	0	0
2020-02-21	320	181	139	164	373.80	0	0	0	0	15	15
2020-02-22	212	0	212	170	380.71	0	0	0	0	40	55
2020-02-23	207	97	110	360	561.73	0	0	0	0	57	112
2020-02-24	340	167	173	310	493.24	0	0	0	0	61	173
2020-02-25	186	154	32	164	328.04	0	0	0	0	67	240
2020-02-26	198	52	146	146	294.05	1	1	0	0	65	305
2020-02-27	53	0	53	0	130.19	4	3	3	1	98	403
2020-02-28	243	181	62	285	394.84	6	2	2	1	128	531
2020-02-29	124	87	37	77	168.37	15	9	8	0.8889	84	615
2020-03-01	193	73	120	122	197.03	19	4	1	0.25	369	984
2020-03-02	88	0	88	0	60.00	24	5	3	0.6	270	1254
2020-03-03	328	276	52	80	128.38	32	8	7	0.875	266	1520
2020-03-04	16	0	16	0	38.41	63	31	22	0.7097	300	1820
2020-03-05	55	36	19	59	87.51	93	30	20	0.6667	431	2251
2020-03-06	15	0	15	0	18.40	129	36	11	0.3056	361	2612
2020-03-07	173	122	51	0	7.90	156	27	5	0.1852	808	3420
2020-03-08	30	0	30	0	-3.23	173	17	2	0.1176	769	4189
2020-03-09	12	0	12	0	-16.05	228	55	3	0.0545	1280	5469
